image_file,caption
000000080057.jpg,A brown teddy bear sitting next to a wooden toy.
000000023781.jpg,A table topped with lots of different types of vegetables.
000000049761.jpg,A herd of wildebeest and zebras grazing in a field.
000000017436.jpg,A black and white photo of a man sitting on a bench.
000000062353.jpg,A group of giraffe standing next to each other.
000000010995.jpg,A bed sitting next to a window in a bedroom.
000000026926.jpg,A red fire hydrant with a smiley face painted on it.
000000069213.jpg,Two men standing next to each other wearing hats.
000000103723.jpg,An elephant standing next to a woman in a black dress.
000000042888.jpg,"A street sign that says ""Tow Zone"" on it."
000000074092.jpg,A woman jumping up to hit a tennis ball with a racquet.
000000115898.jpg,A man riding a wave on top of a surfboard.
000000110721.jpg,A Swiss Airplane parked at an airport terminal.
000000078420.jpg,A cat laying next to a laptop computer.
000000097278.jpg,A man riding a snowboard down a snow covered slope.
000000007281.jpg,A couple of men riding horses on top of a sandy beach.
000000075456.jpg,A pizza sitting on top of a metal pan.
000000041888.jpg,Three turkeys walking through a dry grass field.
000000064574.jpg,"A hair brush, a knife, and a pen laying on a table."
000000061584.jpg,A man and woman sitting on a statue of a horse.
000000006723.jpg,A city street with cars and a bus on it.
000000033368.jpg,A man holding a tennis racquet on top of a tennis court.
000000036936.jpg,A man and woman sitting on a couch playing a video game.
000000106757.jpg,A woman standing in front of an elephant.
000000067180.jpg,A woman sitting on a wooden bench in front of a stone wall.
000000013291.jpg,A group of people posing for a picture with frisbees.
000000015751.jpg,A small bird flying over a group of small birds.
000000098853.jpg,A man swinging a tennis racquet on a tennis court.
000000061658.jpg,A white plate topped with broccoli and cauliflower.
000000088462.jpg,A yellow school bus driving down a street.
000000009590.jpg,A group of men sitting around a wooden table.
000000031749.jpg,A couple of dolls sitting next to a clock.
000000104666.jpg,A living room with a painting on a easel.
000000016439.jpg,A laptop computer sitting on top of a wooden desk.
000000077460.jpg,A group of people flying kites under a cloudy sky.
000000100489.jpg,A bird sitting on top of a tree branch.
000000100428.jpg,A man in a white shirt and tie standing in front of a mirror.
000000097337.jpg,A living room filled with furniture and a flat screen TV.
000000085911.jpg,A kite floating on top of a lake.
000000109976.jpg,"A kitchen with a stove, microwave and coffee maker."
000000009378.jpg,A man holding a neon green frisbee in front of a crowd.
000000041488.jpg,A green highway sign with graffiti on it.
000000072795.jpg,A baseball game is being played in a stadium.
000000023230.jpg,A group of geese swimming in a lake.
000000095786.jpg,A close up of three clay cups on a table.
000000025139.jpg,Two zebras standing next to each other near a fence.
000000111951.jpg,"A bathroom with two sinks, a toilet and a shower."
000000045728.jpg,A plate of noodles with a fork and knife.
000000117525.jpg,A man in a Santa hat holding a dog.
000000085772.jpg,A young man holding a tennis racquet on a tennis court.
000000001425.jpg,A black and white photo of a sandwich on a plate.
000000113051.jpg,A small boat is docked under a bridge.
000000015440.jpg,A stop sign on the side of the road.
000000050638.jpg,A young boy walking through a field with a teddy bear.
000000030828.jpg,A person sleeping on a park bench with a sleeping bag.
000000060347.jpg,A man sitting on a bench in the woods.
000000020553.jpg,A chair with a lot of stuff on it and a table next to it.
000000081766.jpg,A black dog sitting next to a pile of logs.
000000038825.jpg,Two zebras are grazing in the grass. 
000000108440.jpg,A green and yellow train traveling over a bridge.
000000011051.jpg,A young man in a tuxedo standing next to a young woman in a dress.
000000058350.jpg,A woman eating a slice of pizza while sitting on a couch.
000000084752.jpg,A fighter jet sitting on top of cement blocks.
000000083172.jpg,A woman in a red shirt and black shorts playing tennis.
000000055167.jpg,A yellow and blue bus driving down a street.
000000065485.jpg,A dog sitting in the driver's seat of a four wheeler.
000000080273.jpg,A man riding a snowboard down a snow covered slope.
000000054593.jpg,A young man holding a baseball bat on top of a field.
000000003553.jpg,A person riding a skateboard on top of a wooden bench.
000000043581.jpg,A pizza sitting on top of a plate on a table.
000000051938.jpg,A man riding skis on top of a snow covered slope.
000000054605.jpg,A piece of cake sitting on top of a white plate.
000000098839.jpg,A cat sitting in front of a flat screen TV.
000000042276.jpg,A bathroom with a toilet and various shoes on the floor.
000000039405.jpg,A couple of people playing a game of tennis.
000000008021.jpg,People watching a man on a large screen.
000000018380.jpg,A group of people sitting around a table with food.
000000117492.jpg,A group of people walking around a park.
000000023126.jpg,A man riding on the back of a brown horse.
000000017714.jpg,A wooden cutting board topped with a plate of food.
000000031817.jpg,A man sitting on a motorcycle with a helmet on.
000000066886.jpg,A little girl brushing her hair with a pink brush.
000000008211.jpg,A couple of men sitting on the side of a road.
000000026941.jpg,A pile of luggage sitting on top of a green cart.
000000052413.jpg,A person holding a pink cell phone with a cartoon character on it.
000000004795.jpg,A cat sitting in front of a computer monitor.
000000007278.jpg,A man riding a wave on top of a surfboard.
000000034139.jpg,A man and woman standing next to a giant brown suitcase.
000000089648.jpg,A group of people sitting in a room with laptops.
000000054967.jpg,A city street filled with traffic next to tall buildings.
000000019042.jpg,A bird standing on rocks in the water.
000000046872.jpg,A man standing on the back of a flat bed truck.
000000074209.jpg,A kitchen with black and white counter tops and black stools.
000000060363.jpg,A large clock on the side of a building.
000000032610.jpg,A group of laptops and a backpack on a table.
000000009483.jpg,A man in a suit standing in front of a computer.
000000031217.jpg,A man holding a tennis racquet on a tennis court.
000000019221.jpg,A person holding a piece of broccoli with a snail on it.
000000018770.jpg,A close up of a man wearing a suit and tie.
000000067310.jpg,A man riding a skateboard up the side of a ramp.
000000020992.jpg,A woman eating a hot dog with her tongue out.
000000089670.jpg,A cake sitting on top of a green plate.
000000036678.jpg,Boats are in the water near a large building.
000000079837.jpg,A full moon rising over a harbor filled with boats.
000000116362.jpg,A bowl of food with a spoon in it.
000000040471.jpg,A kitchen with white cabinets and a ceiling fan.
000000066523.jpg,A bed with a canopy over it in a bedroom.
000000050811.jpg,A man sitting at a table with a bowl of food.
000000046463.jpg,A person is holding a sandwich on a plate.
000000067406.jpg,A couple of men standing on top of a lush green field.
000000049269.jpg,A brown horse standing next to a white dog.
000000104424.jpg,A woman standing on a tennis court holding a racquet.
000000114049.jpg,A group of people on a train with luggage.
000000012576.jpg,A woman sitting at a table with pizza in boxes.
000000031296.jpg,A group of people sitting around a wooden table.
000000083540.jpg,A person standing in the snow on skis.
000000001296.jpg,A woman holding up a hello kitty cell phone.
